name,type,direction,description
hs_15min,float,high,Probability of hepatic stability <=50% at 15 min
hs_30min,float,high,Probability of hepatic stability <=50% at 30 min
hs_60min,float,high,Probability of hepatic stability <=50% at 60 min
mhl_subcellular,float,high,Probability of sub-cellular hepatic Half-life <= 30 minutes
mhl_tissue,float,high,Probability of tissue hepatic Half-life <= 30 minutes
rc_01,float,high,Probability of renal clearance below 0.10 ml/min/kg
rc_05,float,high,Probability of renal clearance below 0.50 ml/min/kg
rc_1,float,high,Probability of renal clearance below 1.00 ml/min/kg
bbb_permeability,float,high,Probability of permeating the blood-brain barrier
cns_activity,float,high,Probability of exhibiting central nervous system activity
caco2_permeability,float,high,Probability of permeating the Caco-2 monolayer
ppb,float,high,Probability of being a Weak/Non plasma protein binder
phl_1,float,high,Probability of having a plasma half-life <1h
phl_6,float,high,Probability of having a plasma half-life <6h
phl_12,float,high,Probability of having a plasma half-life <12h
miclearence,float,high,Probability of having a microsomal intrinsic clearance >= 12 uL/min/mg
ob_05,float,high,Probability of oral bioavailability <0.5
ob_08,float,high,Probability of oral bioavailability >0.8
